"Additional id should not be empty","Additional id should not be empty"
"Enable Cache for Not Default Currencies","Enable Cache for Not Default Currencies"
"Enable Highlight on Dynamic Blocks While Generating","Enable Highlight on Dynamic Blocks While Generating"
"Enable Page Cache Auto Generation","Enable Page Cache Auto Generation"
"Full Page Cache Settings","Full Page Cache Settings"
"Max. Allowed Page Depth","Max. Allowed Page Depth"
"Max. Cache Size (Mb)","Max. Cache Size (Mb)"
"Note that to fully restrict cookies, full page caching must be disabled as well.","Note that to fully restrict cookies, full page caching must be disabled as well."
